time_s,robot_id,robot_name,key,protocol,pwm_left,pwm_right,sonic_angle_deg,sonic_distance_cm,reason
15.0,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,-125,64,cached_path_to_final_target
15.0,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",16000,17000,-31,47,cached_path_to_final_target
15.0,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-34,98,cached_path_to_final_target
15.0,r05,r05,a,"$3,0,0,0,0,0,0,0,0#",18000,20000,-111,74,cached_path_to_final_target
15.0,r06,r06,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,-114,32,cached_path_to_final_target
15.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,-120,36,cached_path_to_final_target
15.2,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,64,69,cached_path_to_final_target
15.2,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-33,41,cached_path_to_final_target
15.2,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-35,93,cached_path_to_final_target
15.2,r05,r05,w,"$1,0,0,0,0,0,0,0,0#",20000,20000,-116,76,cached_path_to_final_target
15.2,r06,r06,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,-117,33,cached_path_to_final_target
15.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,-121,41,path_to_final_target
15.4,r02,r02,a,"$3,0,0,0,0,0,0,0,0#",10000,18000,56,65,path_to_final_target
15.4,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",16000,17000,-36,35,path_to_final_target
15.4,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-36,87,path_to_final_target
15.4,r05,r05,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,-117,79,path_to_final_target
15.4,r06,r06,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,-119,35,path_to_final_target
15.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,-122,47,cached_path_to_final_target
15.6,r02,r02,a,"$3,0,0,0,0,0,0,0,0#",9000,20000,43,60,cached_path_to_final_target
15.6,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-38,30,cached_path_to_final_target
15.6,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-38,82,cached_path_to_final_target
15.6,r05,r05,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,-118,82,cached_path_to_final_target
15.6,r06,r06,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,-122,38,cached_path_to_final_target
15.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,-124,52,cached_path_to_final_target
15.8,r02,r02,a,"$3,0,0,0,0,0,0,0,0#",13000,19000,38,54,cached_path_to_final_target
15.8,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-41,25,cached_path_to_final_target
15.8,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-40,77,cached_path_to_final_target
15.8,r05,r05,a,"$3,0,0,0,0,0,0,0,0#",13000,19000,-128,86,cached_path_to_final_target
15.8,r06,r06,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,-124,41,cached_path_to_final_target
16.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,-125,58,cached_path_to_final_target
16.0,r02,r02,a,"$3,0,0,0,0,0,0,0,0#",15000,18000,36,49,cached_path_to_final_target
16.0,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-45,20,cached_path_to_final_target
16.0,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-41,72,cached_path_to_final_target
16.0,r05,r05,a,"$3,0,0,0,0,0,0,0,0#",15000,17000,-21,83,cached_path_to_final_target
16.0,r06,r06,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,-125,45,cached_path_to_final_target
16.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,-126,63,path_to_final_target
16.2,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",16000,17000,36,43,path_to_final_target
16.2,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-48,16,path_to_final_target
16.2,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-43,68,path_to_final_target
16.2,r05,r05,w,"$1,0,0,0,0,0,0,0,0#",16000,17000,-24,77,path_to_final_target
16.2,r06,r06,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,-127,49,path_to_final_target
16.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,-128,68,cached_path_to_final_target
16.4,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",16000,17000,37,38,cached_path_to_final_target
16.4,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-52,13,cached_path_to_final_target
16.4,r04,r04,a,"$3,0,0,0,0,0,0,0,0#",10000,19000,-58,65,cached_path_to_final_target
16.4,r05,r05,w,"$1,0,0,0,0,0,0,0,0#",16000,17000,-25,71,cached_path_to_final_target
16.4,r06,r06,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,-128,54,cached_path_to_final_target
16.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,72,67,cached_path_to_final_target
16.6,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",16000,17000,39,32,cached_path_to_final_target
16.6,r03,r03,a,"$3,0,0,0,0,0,0,0,0#",11000,20000,-69,12,cached_path_to_final_target
16.6,r04,r04,a,"$3,0,0,0,0,0,0,0,0#",11000,20000,-78,64,cached_path_to_final_target
16.6,r05,r05,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-27,65,cached_path_to_final_target
16.6,r06,r06,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,-130,59,cached_path_to_final_target
16.8,r01,r01,a,"$3,0,0,0,0,0,0,0,0#",10000,18000,63,63,cached_path_to_final_target
16.8,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",16000,17000,42,27,cached_path_to_final_target
16.8,r03,r03,a,"$3,0,0,0,0,0,0,0,0#",14000,20000,-88,15,cached_path_to_final_target
16.8,r04,r04,a,"$3,0,0,0,0,0,0,0,0#",13000,16000,-84,63,cached_path_to_final_target
16.8,r05,r05,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-28,59,cached_path_to_final_target
16.8,r06,r06,a,"$3,0,0,0,0,0,0,0,0#",10000,18000,-142,64,cached_path_to_final_target
17.0,r01,r01,a,"$3,0,0,0,0,0,0,0,0#",5000,20000,44,59,path_to_final_target
17.0,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,45,22,path_to_final_target
17.0,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",19000,20000,-97,19,path_to_final_target
17.0,r04,r04,d,"$4,0,0,0,0,0,0,0,0#",17000,10000,-78,63,path_to_final_target
17.0,r05,r05,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-30,53,path_to_final_target
17.0,r06,r06,a,"$3,0,0,0,0,0,0,0,0#",7000,20000,-161,69,path_to_final_target
17.2,r01,r01,a,"$3,0,0,0,0,0,0,0,0#",12000,19000,36,54,cached_path_to_final_target
17.2,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,48,17,cached_path_to_final_target
17.2,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",20000,19000,-101,22,cached_path_to_final_target
17.2,r04,r04,d,"$4,0,0,0,0,0,0,0,0#",20000,9000,-66,61,cached_path_to_final_target
17.2,r05,r05,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-32,48,cached_path_to_final_target
17.2,r06,r06,a,"$3,0,0,0,0,0,0,0,0#",13000,19000,-26,70,cached_path_to_final_target
17.4,r01,r01,a,"$3,0,0,0,0,0,0,0,0#",15000,18000,34,49,cached_path_to_final_target
17.4,r02,r02,d,"$4,0,0,0,0,0,0,0,0#",20000,11000,65,15,cached_path_to_final_target
17.4,r03,r03,d,"$4,0,0,0,0,0,0,0,0#",20000,18000,-103,25,cached_path_to_final_target
17.4,r04,r04,d,"$4,0,0,0,0,0,0,0,0#",18000,14000,-62,59,cached_path_to_final_target
17.4,r05,r05,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-34,42,cached_path_to_final_target
17.4,r06,r06,a,"$3,0,0,0,0,0,0,0,0#",15000,17000,-31,65,cached_path_to_final_target
17.6,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,17000,34,43,cached_path_to_final_target
17.6,r02,r02,d,"$4,0,0,0,0,0,0,0,0#",20000,13000,84,16,cached_path_to_final_target
17.6,r03,r03,d,"$4,0,0,0,0,0,0,0,0#",20000,18000,-105,28,cached_path_to_final_target
17.6,r04,r04,d,"$4,0,0,0,0,0,0,0,0#",17000,15000,-62,57,cached_path_to_final_target
