mission_id,mission_name,step,time_s,ts_ms,algorithm,completion_policy,robot_id,robot_name,powered,cluster_id,role,perception_mode,visible_obstacle_count,known_obstacle_count,primary_x_m,primary_y_m,primary_theta_rad,primary_v_mps,primary_omega_radps,primary_pwr_left,primary_pwr_right,primary_sonic_angle_deg,primary_sonic_distance_cm,primary_camera_pan_deg,primary_camera_tilt_deg,primary_tracking_bits,primary_led,primary_buz,control_cmd_vx_mps,control_cmd_vy_mps,control_cmd_v_mps,control_cmd_omega_radps,control_target_x_m,control_target_y_m,control_reason,tank_key_command,tank_protocol_command,tank_pwm_left,tank_pwm_right,tank_command_note,agent_path_length_m,agent_energy_proxy,agent_collision_events,agent_near_miss_events,agent_lane_violations,agent_min_obstacle_clearance_m,agent_min_robot_clearance_m,agent_goal_distance_m,group_centroid_x_m,group_centroid_y_m,group_centroid_to_goal_m,group_centroid_path_m,group_effective_centroid_length_m,group_formation_rms_m,group_formation_bad_pairs,group_min_clearance_m,group_collision_steps,group_lane_violations,group_total_energy_proxy,group_sum_agent_path_m,group_mean_instant_speed_mps,group_average_speed_mps,group_active_cluster_count,done,finish_reason
b326998ea4,formation_6_dynamic_popup,17,3.4,1784465400,completion_astar,finish_first,r06,r06,True,center,member,local,1,1,0.50852,0.00359,0.0041,0.3116,6e-05,820,820,-8,291,0,0,0000,---,False,0.3116,0.00128,0.3116,6e-05,0.94899,0.0054,path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.86853,2.41043,0,0,0,2.91232,0.11631,11.13148,0.95655,0.03162,11.0435,0.9571,0.9565,0.07087,4,0.0642,0,0,15.48372,5.74785,0.3116,0.2813,2,False,running
b326998ea4,formation_6_dynamic_popup,18,3.6,1784465600,completion_astar,finish_first,r01,r01,True,lower,member,local,1,1,0.81684,-0.2233,0.09064,0.3116,1e-05,820,820,-10,260,0,0,0000,---,False,0.31032,0.02821,0.3116,1e-05,1.2005,-0.18843,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.00079,2.68367,0,0,0,2.59714,0.11631,11.00351,1.01511,0.03367,10.9849,1.0157,1.0151,0.07934,5,0.0599,0,0,16.42567,6.09977,0.2933,0.282,2,False,running
b326998ea4,formation_6_dynamic_popup,18,3.6,1784465600,completion_astar,finish_first,r02,r02,True,lower,member,local,1,1,1.23793,-0.20732,0.09933,0.3116,2e-05,820,820,-11,218,0,0,0000,---,False,0.31006,0.0309,0.3116,2e-05,1.55926,-0.1753,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.0631,2.84954,0,0,0,2.17605,0.05994,10.94257,1.01511,0.03367,10.9849,1.0157,1.0151,0.07934,5,0.0599,0,0,16.42567,6.09977,0.2933,0.282,2,False,running
b326998ea4,formation_6_dynamic_popup,18,3.6,1784465600,completion_astar,finish_first,r03,r03,True,center,member,local,1,1,1.42311,0.00533,0.00505,0.3116,-8e-05,820,820,-11,200,0,0,0100,---,False,0.3116,0.00157,0.3116,-8e-05,1.74598,0.00696,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.06312,2.84398,0,0,0,2.00088,0.05994,10.93689,1.01511,0.03367,10.9849,1.0157,1.0151,0.07934,5,0.0599,0,0,16.42567,6.09977,0.2933,0.282,2,False,running
b326998ea4,formation_6_dynamic_popup,18,3.6,1784465600,completion_astar,finish_first,r04,r04,True,center,member,local,1,1,1.24312,0.31177,0.0,0.3116,0.0,820,820,-17,223,0,0,0000,---,False,0.3116,0.0,0.3116,0.0,1.566,0.31177,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.06312,2.84379,0,0,0,2.22755,0.13335,10.93688,1.01511,0.03367,10.9849,1.0157,1.0151,0.07934,5,0.0599,0,0,16.42567,6.09977,0.2933,0.282,2,False,running
b326998ea4,formation_6_dynamic_popup,18,3.6,1784465600,completion_astar,finish_first,r05,r05,True,center,member,local,1,1,0.8208,0.31177,0.0,0.3116,0.0,820,820,-14,264,0,0,0000,---,False,0.3116,0.0,0.3116,0.0,1.206,0.31177,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.0008,2.67854,0,0,0,2.64118,0.11792,10.9992,1.01511,0.03367,10.9849,1.0157,1.0151,0.07934,5,0.0599,0,0,16.42567,6.09977,0.2933,0.282,2,False,running
b326998ea4,formation_6_dynamic_popup,18,3.6,1784465600,completion_astar,finish_first,r06,r06,True,center,member,local,1,1,0.54884,0.00376,0.00437,0.2016,0.00134,530,531,-8,287,0,0,0000,---,False,0.14592,0.00067,0.2016,0.00134,1.02599,0.00573,cached_path_to_final_target; completion_unstuck,w,"$1,0,0,0,0,0,0,0,0#",11000,11000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.90885,2.52615,0,0,0,2.87211,0.11631,11.09116,1.01511,0.03367,10.9849,1.0157,1.0151,0.07934,5,0.0599,0,0,16.42567,6.09977,0.2933,0.282,2,False,running
b326998ea4,formation_6_dynamic_popup,19,3.8,1784465800,completion_astar,finish_first,r01,r01,True,lower,member,local,1,1,0.87891,-0.21766,0.09064,0.3116,1e-05,820,820,-10,254,0,0,0000,---,False,0.31032,0.02821,0.3116,1e-05,1.27718,-0.18146,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.06311,2.84892,0,0,0,2.53507,0.11631,10.9415,1.07371,0.03537,10.9263,1.0743,1.0737,0.07778,4,0.0599,0,0,17.37686,6.45188,0.2934,0.2826,2,False,running
b326998ea4,formation_6_dynamic_popup,19,3.8,1784465800,completion_astar,finish_first,r02,r02,True,lower,member,local,1,1,1.27824,-0.2033,0.09933,0.20254,1e-05,533,533,-11,214,0,0,0000,---,False,0.20154,0.02009,0.20254,1e-05,1.63588,-0.16766,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",11000,11000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.10361,2.96567,0,0,0,2.13575,0.05994,10.9023,1.07371,0.03537,10.9263,1.0743,1.0737,0.07778,4,0.0599,0,0,17.37686,6.45188,0.2934,0.2826,2,False,running
b326998ea4,formation_6_dynamic_popup,19,3.8,1784465800,completion_astar,finish_first,r03,r03,True,center,member,local,1,1,1.48543,0.00565,0.00503,0.3116,-7e-05,820,820,-11,194,0,0,0100,---,False,0.3116,0.00156,0.3116,-7e-05,1.82298,0.00734,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.12544,3.00923,0,0,0,1.9389,0.05994,10.87458,1.07371,0.03537,10.9263,1.0743,1.0737,0.07778,4,0.0599,0,0,17.37686,6.45188,0.2934,0.2826,2,False,running
